Tarih,TP DK USD A YTL,
11-10-2020,,
12-10-2020,7.91,
13-10-2020,7.87,
14-10-2020,7.88,
15-10-2020,7.92,
16-10-2020,7.91,
17-10-2020,,
18-10-2020,,
19-10-2020,7.91,
20-10-2020,7.88,
21-10-2020,7.88,
22-10-2020,7.82,
23-10-2020,7.80,
24-10-2020,,
25-10-2020,,
26-10-2020,7.94,
27-10-2020,8.03,
28-10-2020,8.12,
29-10-2020,,
30-10-2020,8.12,
31-10-2020,,
01-11-2020,,
02-11-2020,8.31,
03-11-2020,8.38,
04-11-2020,8.45,
05-11-2020,8.46,
06-11-2020,8.44,
07-11-2020,,
08-11-2020,,
09-11-2020,8.46,
10-11-2020,8.18,
11-11-2020,8.24,
12-11-2020,8.05,
13-11-2020,7.79,
14-11-2020,,
15-11-2020,,
16-11-2020,7.63,
17-11-2020,7.68,
18-11-2020,7.74,
19-11-2020,7.72,
20-11-2020,7.67,
21-11-2020,,
22-11-2020,,
23-11-2020,7.58,
24-11-2020,7.76,
25-11-2020,7.92,
26-11-2020,7.94,
27-11-2020,7.89,
28-11-2020,,
29-11-2020,,
30-11-2020,7.80,
01-12-2020,7.79,
02-12-2020,7.84,
03-12-2020,7.81,
04-12-2020,7.85,
05-12-2020,,
06-12-2020,,
07-12-2020,7.78,
08-12-2020,7.84,
09-12-2020,7.81,
10-12-2020,7.82,
11-12-2020,7.85,
12-12-2020,,
13-12-2020,,
14-12-2020,7.93,
15-12-2020,7.87,
16-12-2020,7.83,
17-12-2020,7.79,
18-12-2020,7.75,
19-12-2020,,
20-12-2020,,
21-12-2020,7.69,
22-12-2020,7.68,
23-12-2020,7.64,
24-12-2020,7.63,
25-12-2020,7.62,
26-12-2020,,
27-12-2020,,
28-12-2020,7.55,
29-12-2020,7.47,
30-12-2020,7.41,
31-12-2020,7.34,
01-01-2021,,
02-01-2021,,
03-01-2021,,
04-01-2021,7.42,
05-01-2021,7.36,
06-01-2021,7.39,
07-01-2021,7.33,
08-01-2021,7.27,
09-01-2021,,
10-01-2021,,
11-01-2021,7.35,
12-01-2021,7.44,
13-01-2021,7.46,
14-01-2021,7.43,
15-01-2021,7.39,
16-01-2021,,
17-01-2021,,
18-01-2021,7.39,
19-01-2021,7.50,
20-01-2021,7.45,
21-01-2021,7.44,
22-01-2021,7.38,
23-01-2021,,
24-01-2021,,
25-01-2021,7.40,
26-01-2021,7.38,
27-01-2021,7.38,
28-01-2021,7.35,
29-01-2021,7.37,
30-01-2021,,
31-01-2021,,
01-02-2021,7.32,
02-02-2021,7.22,
03-02-2021,7.14,
04-02-2021,7.15,
05-02-2021,7.13,
06-02-2021,,
07-02-2021,,
08-02-2021,7.08,
09-02-2021,7.07,
10-02-2021,7.08,
11-02-2021,7.05,
12-02-2021,7.04,
13-02-2021,,
14-02-2021,,
15-02-2021,7.02,
16-02-2021,6.97,
17-02-2021,6.92,
18-02-2021,7.00,
19-02-2021,6.95,
20-02-2021,,
21-02-2021,,
22-02-2021,6.96,
23-02-2021,6.99,
24-02-2021,7.03,
25-02-2021,7.14,
26-02-2021,7.19,
27-02-2021,,
28-02-2021,,
01-03-2021,7.37,
02-03-2021,7.30,
03-03-2021,7.31,
04-03-2021,7.34,
05-03-2021,7.45,
06-03-2021,,
07-03-2021,,
08-03-2021,7.51,
09-03-2021,7.59,
10-03-2021,7.64,
11-03-2021,7.60,
12-03-2021,7.44,
13-03-2021,,
14-03-2021,,
15-03-2021,7.57,
16-03-2021,7.54,
17-03-2021,7.50,
18-03-2021,7.50,
19-03-2021,7.46,
20-03-2021,,
21-03-2021,,
22-03-2021,7.27,
23-03-2021,7.90,
24-03-2021,7.81,
25-03-2021,7.97,
26-03-2021,7.94,
27-03-2021,,
28-03-2021,,
29-03-2021,7.99,
30-03-2021,8.12,
31-03-2021,8.33,
01-04-2021,8.33,
02-04-2021,8.17,
03-04-2021,,
04-04-2021,,
05-04-2021,8.04,
06-04-2021,8.14,
07-04-2021,8.14,
08-04-2021,8.17,
09-04-2021,8.15,
10-04-2021,,
11-04-2021,,
12-04-2021,8.14,
13-04-2021,8.17,
14-04-2021,8.14,
15-04-2021,8.07,
16-04-2021,8.06,
17-04-2021,,
18-04-2021,,
19-04-2021,8.06,
20-04-2021,8.05,
21-04-2021,8.10,
22-04-2021,8.14,
23-04-2021,,
24-04-2021,,
25-04-2021,,
26-04-2021,8.27,
27-04-2021,8.33,
